Rank,RatingTomatometer,Title,No. of Reviews
68,93%,Bacurau,163
69,97%,Why Don't You Just Die!,76
70,98%,Apples,53
71,98%,The Swerve,53
72,91%,Enola Holmes,204
73,96%,La Llorona,94
74,96%,The Dissident,93
75,97%,Farewell Amor,71
76,98%,Sweat,48
77,98%,Fourteen,47
78,88%,News of the World,263
79,97%,Slaxx,67
80,98%,Make Up,45
81,98%,The Go-Go's,44
82,98%,Fireball: Visitors from Darker Worlds,43
83,98%,There Is No Evil,43
84,98%,The Last Tree,43
85,97%,Shithouse,64
86,97%,Rocks,64
87,98%,Assassins,42
88,97%,Spontaneous,63
89,93%,Babyteeth,149
90,97%,The Boy Behind the Door,62
91,97%,The Human Voice,61
92,96%,A Shaun the Sheep Movie: Farmageddon,78
93,90%,Kajillionaire,205
94,96%,Zappa,69
95,85%,Just Mercy,305
96,85%,Borat: Subsequent Moviefilm,303
97,79%,Birds of Prey,430
98,91%,The White Tiger,170
99,93%,"Yes, God, Yes",126
100,87%,Emma.,255
1,94%,Nomadland,416
2,96%,Judas and the Black Messiah,339
3,98%,The Father,276
4,94%,In the Heights,343
5,99%,Summer of Soul,198
6,97%,Pig,214
7,94%,Raya and the Last Dragon,281
8,96%,CODA,229
9,98%,The Mitchells vs. The Machines,179
10,91%,The Suicide Squad,341
11,91%,A Quiet Place Part II,341
12,99%,MLK/FBI,123
13,97%,Shiva Baby,145
14,91%,Luca,280
15,93%,Shang-Chi and the Legend of the Ten Rings,254
16,100%,"Quo Vadis, Aida?",61
17,100%,Identifying Features,58
18,100%,Slalom,51
19,100%,Flee,48
20,98%,Two of Us,87
21,100%,Sabaya,40
22,100%,Paper Spiders,40
23,95%,The Sparks Brothers,150
24,96%,Riders of Justice,116
25,97%,I Carry You with Me,87
26,98%,The Paper Tigers,59
27,96%,Rita Moreno: Just a Girl Who Decided to Go For It,102
28,96%,Billie Eilish: The World's a Little Blurry,99
29,98%,My Heart Can't Beat Unless You Tell It To,48
30,98%,Playing with Sharks,41
31,98%,Drunk Bus,41
32,98%,Hope,41
33,98%,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,40
34,97%,The Reason I Jump,58
35,96%,Stray,67
36,95%,Street Gang: How We Got to Sesame Street,88
37,96%,The Lost Leonardo,53
38,96%,In the Same Breath,50
39,96%,Plan B,50
40,96%,Language Lessons,51
41,93%,Herself,116
42,93%,Val,114
43,88%,The Green Knight,230
44,92%,Roadrunner: A Film About Anthony Bourdain,134
45,95%,Lapsis,57
46,85%,Candyman,289
47,95%,Dear Comrades!,55
48,88%,Zola,217
49,89%,Supernova,193
50,79%,Black Widow,423
51,91%,Together Together,142
52,93%,The Killing of Two Lovers,95
53,92%,Limbo,118
54,95%,Test Pattern,44
55,93%,Mogul Mowgli,87
56,93%,Some Kind of Heaven,83
57,92%,Tina,86
58,84%,Nobody,268
59,89%,Censor,149
60,93%,"All Light, Everywhere",54
61,93%,Lily Topples the World,45
62,93%,Never Gonna Snow Again,45
63,93%,Bo Burnham: Inside,43
64,93%,Spring Blossom,43
65,90%,The Vigil,112
66,93%,The Man Who Sold His Skin,41
67,92%,Swan Song,64
68,93%,Pray Away,40
69,92%,Mass,60
70,92%,Final Account,60
71,88%,The Dig,152
72,91%,PG: Psycho Goreman,82
73,91%,Little Fish,76
74,92%,Days of the Bagnold Summer,51
75,92%,Truman & Tennessee: An Intimate Conversation,48
76,90%,Fear Street Part Three: 1666,92
77,91%,Holler,65
78,88%,Nine Days,134
79,88%,Ema,132
80,88%,Dream Horse,126
81,91%,Cowboys,56
82,91%,Rams,53
83,85%,The Night House,179
84,89%,The Dry,84
85,88%,Fear Street Part Two: 1978,102
86,88%,Violation,98
87,88%,Oxygen,94
88,81%,Free Guy,255
89,90%,Coming Home in the Dark,42
90,90%,Les n̫tres,41
91,86%,Werewolves Within,134
92,89%,Ailey,61
93,75%,Godzilla vs. Kong,375
94,87%,Vivo,89
95,88%,The Djinn,64
96,74%,Cruella,386
97,88%,Wild Indian,52
98,88%,Operation Varsity Blues: The College Admissions Scandal,51
99,86%,Jakob's Wife,88
100,88%,We're All Going to the World's Fair,40
